PC:C614 A:06 X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:06 X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:0E Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:03 X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:03 X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:0E Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:01 X:0E Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:01 X:0E Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:01 X:0F Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:01 X:0F Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:01 X:0F Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:0F X:0F Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:1E X:0F Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:1E X:0F Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:1E X:0F Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:1F X:0F Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:E0 X:0F Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:60 X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:60 X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:30 X:0F Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:30 X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:30 X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:18 X:0F Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:18 X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:18 X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0C X:0F Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0C X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0C X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:06 X:0F Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:06 X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:06 X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:0F Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:03 X:0F Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:03 X:0F Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:0F Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:01 X:0F Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:01 X:0F Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:01 X:10 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:01 X:10 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:01 X:10 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:10 X:10 Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:20 X:10 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:20 X:10 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:20 X:10 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:20 X:11 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:20 X:11 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:20 X:11 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:11 X:11 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:22 X:11 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:22 X:11 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:22 X:11 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:22 X:12 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:22 X:12 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:22 X:12 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:12 X:12 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:24 X:12 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:24 X:12 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:24 X:12 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:24 X:13 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:24 X:13 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:24 X:13 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:13 X:13 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:26 X:13 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:26 X:13 Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:26 X:13 Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:37 X:13 Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:C8 X:13 Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:48 X:13 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:48 X:13 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:24 X:13 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:24 X:13 Y:00 S:FD P:24 INST:B0 08 4A
